order_id	quantity	item_name	choice_description	item_price	date
1	1	Chips and Fresh Tomato Salsa		$2.39 	2026-01-29
1	1	Izze	[Clementine]	$3.39 	2026-01-29
1	1	Nantucket Nectar	[Apple]	$3.39 	2026-01-29
1	1	Chips and Tomatillo-Green Chili Salsa		$2.39 	2026-01-29
2	2	Chicken Bowl	[Tomatillo-Red Chili Salsa (Hot), [Black Beans, Rice, Cheese, Sour Cream]]	$16.98 	2025-04-26
3	1	Chicken Bowl	[Fresh Tomato Salsa (Mild), [Rice, Cheese, Sour Cream, Guacamole, Lettuce]]	$10.98 	2025-09-18
3	1	Side of Chips		$1.69 	2025-09-18
4	1	Steak Burrito	[Tomatillo Red Chili Salsa, [Fajita Vegetables, Black Beans, Pinto Beans, Cheese, Sour Cream, Guacamole, Lettuce]]	$11.75 	2025-05-16
4	1	Steak Soft Tacos	[Tomatillo Green Chili Salsa, [Pinto Beans, Cheese, Sour Cream, Lettuce]]	$9.25 	2025-05-16
5	1	Steak Burrito	[Fresh Tomato Salsa, [Rice, Black Beans, Pinto Beans, Cheese, Sour Cream, Lettuce]]	$9.25 	2025-12-30
5	1	Chips and Guacamole		$4.45 	2025-12-30
6	1	Chicken Crispy Tacos	[Roasted Chili Corn Salsa, [Fajita Vegetables, Rice, Black Beans, Cheese, Sour Cream]]	$8.75 	2025-06-21
6	1	Chicken Soft Tacos	[Roasted Chili Corn Salsa, [Rice, Black Beans, Cheese, Sour Cream]]	$8.75 	2025-06-21
7	1	Chicken Bowl	[Fresh Tomato Salsa, [Fajita Vegetables, Rice, Cheese, Sour Cream, Guacamole]]	$11.25 	2025-11-18
7	1	Chips and Guacamole		$4.45 	2025-11-18
8	1	Chips and Tomatillo-Green Chili Salsa		$2.39 	2025-10-27
8	1	Chicken Burrito	[Tomatillo-Green Chili Salsa (Medium), [Pinto Beans, Cheese, Sour Cream]]	$8.49 	2025-10-27
9	1	Chicken Burrito	[Fresh Tomato Salsa (Mild), [Black Beans, Rice, Cheese, Sour Cream, Lettuce]]	$8.49 	2025-02-08
9	2	Canned Soda	[Sprite]	$2.18 	2025-02-08
10	1	Chicken Bowl	[Tomatillo Red Chili Salsa, [Fajita Vegetables, Black Beans, Sour Cream, Cheese, Lettuce]]	$8.75 	2025-11-22
10	1	Chips and Guacamole		$4.45 	2025-11-22
11	1	Barbacoa Burrito	[[Fresh Tomato Salsa (Mild), Tomatillo-Green Chili Salsa (Medium), Tomatillo-Red Chili Salsa (Hot)], [Rice, Cheese, Sour Cream, Lettuce]]	$8.99 	2025-01-10
11	1	Nantucket Nectar	[Pomegranate Cherry]	$3.39 	2025-01-10
12	1	Chicken Burrito	[[Tomatillo-Green Chili Salsa (Medium), Tomatillo-Red Chili Salsa (Hot)], [Pinto Beans, Rice, Cheese, Sour Cream, Guacamole, Lettuce]]	$10.98 	2025-10-21
12	1	Izze	[Grapefruit]	$3.39 	2025-10-21
13	1	Chips and Fresh Tomato Salsa		$2.39 	2025-01-09
13	1	Chicken Bowl	[Roasted Chili Corn Salsa (Medium), [Pinto Beans, Rice, Fajita Veggies, Cheese, Sour Cream, Lettuce]]	$8.49 	2025-01-09
14	1	Carnitas Burrito	[[Tomatillo-Green Chili Salsa (Medium), Roasted Chili Corn Salsa (Medium)], [Black Beans, Rice, Sour Cream, Lettuce]]	$8.99 	2025-09-18
14	1	Canned Soda	[Dr. Pepper]	$1.09 	2025-09-18
15	1	Chicken Burrito	[Tomatillo-Green Chili Salsa (Medium), [Pinto Beans, Rice, Cheese, Sour Cream]]	$8.49 	2025-08-04
15	1	Chips and Tomatillo-Green Chili Salsa		$2.39 	2025-08-04
16	1	Steak Burrito	[[Roasted Chili Corn Salsa (Medium), Fresh Tomato Salsa (Mild)], [Rice, Black Beans, Sour Cream]]	$8.99 	2025-12-01
16	1	Side of Chips		$1.69 	2025-12-01
17	1	Carnitas Bowl	[Tomatillo-Red Chili Salsa (Hot), [Black Beans, Rice, Fajita Veggies, Cheese, Sour Cream, Lettuce]]	$8.99 	2025-08-23
17	1	Bottled Water		$1.09 	2025-08-23
18	1	Chicken Soft Tacos	[Roasted Chili Corn Salsa, Rice]	$8.75 	2025-09-08
18	1	Chicken Soft Tacos	[Roasted Chili Corn Salsa, [Cheese, Lettuce]]	$8.75 	2025-09-08
18	1	Chips and Guacamole		$4.45 	2025-09-08
18	1	Chips and Tomatillo Green Chili Salsa		$2.95 	2025-09-08
19	1	Barbacoa Bowl	[Roasted Chili Corn Salsa, [Fajita Vegetables, Rice, Black Beans, Cheese, Sour Cream, Guacamole, Lettuce]]	$11.75 	2025-08-12
19	1	Chips		$2.15 	2025-08-12
20	1	Chips and Guacamole		$4.45 	2025-07-19
20	1	Chicken Bowl	[Roasted Chili Corn Salsa, [Rice, Black Beans, Cheese, Sour Cream, Guacamole, Lettuce]]	$11.25 	2025-07-19
20	1	Steak Burrito	[Fresh Tomato Salsa, [Rice, Pinto Beans, Cheese, Sour Cream, Guacamole, Lettuce]]	$11.75 	2025-07-19
20	1	Chicken Salad Bowl	[Fresh Tomato Salsa, [Fajita Vegetables, Pinto Beans, Lettuce]]	$8.75 	2025-07-19
